         i         lr    lrdecay          p         wd   accuracy
         0        0.0        0.9        0.4        0.6       0.43
         1       -1.0        0.0        0.5        0.0       0.17
         2       -1.0        0.7        0.9        0.2       0.48
         3       -2.0        0.4        0.9        0.9       0.12
         4       -3.0        0.5        0.5        1.0       0.07
         5        0.0        0.5        0.9        0.8       0.06
         6        0.0        1.0        0.3        0.7       0.43
         7       -5.0        0.7        0.9        0.7       0.27
         8       -1.0        0.5        0.3        0.4       0.02
         9       -2.0        1.0        0.3        0.4       0.43
        10       -3.0        0.6        0.5        0.6       0.12
        11       -5.0        0.9        0.3        0.9       0.37
        12       -5.0        0.5        0.3        1.0       0.29
        13       -4.0        1.0        0.0        0.4       0.47
        14        0.0        0.1        0.0        0.0       0.38
        15       -5.0        0.2        0.4        0.1       0.04
        16       -5.0        0.7        0.1        0.1       0.06
        17       -4.0        1.0        0.3        0.2       0.53
        18       -5.0        0.2        0.4        0.3       0.03
        19       -4.0        0.4        0.2        0.7       0.15
        20        0.0        0.8        0.3        0.2       0.40
        21        0.0        0.7        0.9        0.1       0.25
        22       -4.0        0.8        0.6        1.0       0.09
        23       -5.0        1.0        0.6        1.0       0.43
        24       -3.0        0.5        0.2        0.2       0.02
        25       -2.0        0.0        0.0        0.7       0.01
        26       -1.0        0.5        0.7        0.6       0.08
        27       -5.0        0.1        0.0        0.2       0.01
        28       -1.0        0.7        0.1        0.6       0.02
        29       -5.0        0.8        0.1        0.0       0.06
        30       -4.0        0.5        1.0        0.7       0.49
        31       -5.0        0.7        0.1        0.6       0.07
        32       -1.0        1.0        0.6        0.7       0.40
        33       -5.0        0.9        0.3        0.2       0.03
        34       -4.0        0.6        1.0        0.0       0.35
        35       -4.0        0.0        0.8        0.5       0.01
        36       -1.0        0.8        0.4        0.5       0.31
        37        0.0        0.7        0.5        0.3       0.43
        38       -4.0        0.5        0.6        0.0       0.30
        39       -1.0        0.9        0.7        0.9       0.40
        40       -5.0        0.6        0.3        0.6       0.13
        41       -4.0        0.9        0.7        0.8       0.04
        42       -2.0        0.5        0.8        1.0       0.06
        43        0.0        0.6        0.2        1.0       0.43
        44       -1.0        0.5        0.5        0.4       0.10
        45       -3.0        0.9        0.6        0.4       0.02
        46       -5.0        0.5        0.9        0.8       0.35
        47       -1.0        0.5        1.0        0.2       0.00
        48       -5.0        0.4        0.8        0.0       0.02
        49       -2.0        0.9        0.5        0.6       0.08
        50       -5.0        0.0        0.6        0.9       0.08
        51        0.0        0.3        0.3        0.7       0.43
        52       -5.0        0.2        0.5        0.6       0.11
        53       -5.0        0.6        0.8        0.6       0.05
        54       -2.0        1.0        0.2        1.0       0.40
        55       -3.0        0.4        0.5        0.3       0.11
        56       -2.0        0.2        0.7        0.8       0.03
        57       -2.0        0.5        0.3        0.2       0.03
        58       -1.0        0.3        0.2        0.6       0.36
        59       -5.0        0.1        0.0        0.4       0.17
        60       -3.0        0.2        0.0        0.7       0.13
        61       -5.0        0.0        0.8        0.2       0.10
        62       -4.0        0.0        0.8        0.8       0.32
        63       -1.0        0.2        0.2        0.1       0.07
        64       -4.0        0.9        0.6        0.7       0.12
        65       -5.0        0.0        0.9        0.2       0.01
        66       -5.0        0.4        0.9        0.2       0.02
        67       -5.0        0.0        1.0        0.9       0.38
        68       -1.0        0.7        0.7        0.7       0.43
        69       -2.0        0.1        0.0        0.8       0.01
        70        0.0        0.0        0.8        0.6       0.28
